1, 01, 5347.5, Sophia, Russell, 4552
2, 02, 5240.75, Sophia, Russell, 4552
3, 03, 5548.2, Sophia, Russell, 4552
4, 04, 5401.3, Sophia, Russell, 4552
5, 05, 5667.9, Sophia, Russell, 4552
6, 06, 5149.8, Sophia, Russell, 4552
7, 07, 5756.4, Sophia, Russell, 4552
8, 08, 5192.75, Sophia, Russell, 4552
9, 09, 5476.6, Sophia, Russell, 4552
10, 10, 5613.25, Sophia, Russell, 4552
11, 11, 5038.9, Sophia, Russell, 4552
12, 12, 5872.1, Sophia, Russell, 4552
13, 01, 4735.5, Lauren, King, 1930
14, 02, 4891.2, Lauren, King, 1930
15, 03, 5116.7, Lauren, King, 1930
16, 04, 4623.9, Lauren, King, 1930
17, 05, 4985.6, Lauren, King, 1930
18, 06, 5047.4, Lauren, King, 1930
19, 07, 4798.8, Lauren, King, 1930
20, 08, 5256.3, Lauren, King, 1930
21, 09, 4849.5, Lauren, King, 1930
22, 10, 4987.6, Lauren, King, 1930
23, 11, 5112.8, Lauren, King, 1930
24, 12, 5203.9, Lauren, King, 1930
25, 01, 3612.5, Daniel, Mitchell, 6787
26, 02, 3751.2, Daniel, Mitchell, 6787
27, 03, 3932.7, Daniel, Mitchell, 6787
28, 04, 3485.4, Daniel, Mitchell, 6787
29, 05, 3654.6, Daniel, Mitchell, 6787
30, 06, 3879.8, Daniel, Mitchell, 6787
31, 07, 3342.9, Daniel, Mitchell, 6787
32, 08, 4121.1, Daniel, Mitchell, 6787
33, 09, 3409.5, Daniel, Mitchell, 6787
34, 10, 3856.2, Daniel, Mitchell, 6787
35, 11, 4082.7, Daniel, Mitchell, 6787
36, 12, 4220.4, Daniel, Mitchell, 6787
37, 01, 2547.5, Connor, Foster, 8567
38, 02, 2601.2, Connor, Foster, 8567
39, 03, 2756.7, Connor, Foster, 8567
40, 04, 2485.4, Connor, Foster, 8567
41, 05, 2678.6, Connor, Foster, 8567
42, 06, 2831.8, Connor, Foster, 8567
43, 07, 2412.9, Connor, Foster, 8567
44, 08, 2965.1, Connor, Foster, 8567
45, 09, 2498.5, Connor, Foster, 8567
46, 10, 2784.2, Connor, Foster, 8567
47, 11, 3059.7, Connor, Foster, 8567
48, 12, 3122.4, Connor, Foster, 8567
49, 01, 4105.5, Lisa, Anderson, 607
50, 02, 4251.2, Lisa, Anderson, 607
51, 03, 4326.7, Lisa, Anderson, 607
52, 04, 3985.4, Lisa, Anderson, 607
53, 05, 4162.6, Lisa, Anderson, 607
54, 06, 4439.8, Lisa, Anderson, 607
55, 07, 3752.9, Lisa, Anderson, 607
56, 08, 4729.1, Lisa, Anderson, 607
57, 09, 3896.5, Lisa, Anderson, 607
58, 10, 4377.2, Lisa, Anderson, 607
59, 11, 4562.7, Lisa, Anderson, 607
60, 12, 4689.4, Lisa, Anderson, 607
61, 01, 5567.5, Nora, Parker, 8645
62, 02, 5713.2, Nora, Parker, 8645
63, 03, 5898.7, Nora, Parker, 8645
64, 04, 5525.4, Nora, Parker, 8645
65, 05, 5612.6, Nora, Parker, 8645
66, 06, 5949.8, Nora, Parker, 8645
67, 07, 5372.9, Nora, Parker, 8645
68, 08, 6129.1, Nora, Parker, 8645
